_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1094,2020-08-31T00:00:00,VN,Hạ Long,pressure,8,983.8,995.5,993.3,139.8
1095,2020-01-29T00:00:00,VN,Hạ Long,pressure,8,1006.1,1010,1007.4,15.87
1096,2020-07-02T00:00:00,VN,Hạ Long,pressure,8,1002.9,1007,1004.8,21.39
1097,2020-03-04T00:00:00,VN,Hạ Long,pressure,8,997.9,1002,999.2,19.23
1098,2020-04-25T00:00:00,VN,Hạ Long,pressure,8,1004,1007.3,1005,12.28
1099,2020-03-12T00:00:00,VN,Hạ Long,pressure,8,1005.3,1009.4,1007.2,17.04
1100,2021-01-17T00:00:00,VN,Hạ Long,pressure,8,1005.3,1013.8,1010.7,87.77
1101,2020-09-24T00:00:00,VN,Hạ Long,pressure,8,995.2,1001.3,997.6,46.3
1102,2020-07-10T00:00:00,VN,Hạ Long,pressure,8,997.9,1002.6,1000.1,18.99
1103,2020-02-12T00:00:00,VN,Hạ Long,pressure,8,1004.8,1008.9,1007,15.5
1104,2020-03-29T00:00:00,VN,Hạ Long,pressure,8,992.8,998,995.3,30.94
1105,2020-04-27T00:00:00,VN,Hạ Long,pressure,8,1002.5,1006.4,1004.7,14.86
1106,2020-06-29T00:00:00,VN,Hạ Long,pressure,8,988.5,992.1,991,17.02
1107,2020-09-16T00:00:00,VN,Hạ Long,pressure,8,991.1,994.9,993.2,15.02
1108,2020-03-10T00:00:00,VN,Hạ Long,pressure,8,995,997.9,995.9,10.93
1109,2020-11-27T00:00:00,VN,Hạ Long,pressure,8,1004.9,1008.8,1006.1,21.06
1110,2021-12-01T00:00:00,VN,Hạ Long,pressure,8,1007.9,1016.1,1010.8,126.88
1111,2020-01-18T00:00:00,VN,Hạ Long,pressure,8,1001.7,1005.7,1003.4,16.22
1112,2020-05-27T00:00:00,VN,Hạ Long,pressure,7,994,998.2,996.3,21.4
1113,2020-10-07T00:00:00,VN,Hạ Long,pressure,8,987.1,989.3,987.7,7.07
1114,2020-01-09T00:00:00,VN,Hạ Long,pressure,7,992.5,995,994,8.33
1115,2021-11-01T00:00:00,VN,Hạ Long,pressure,8,1011.8,1016.6,1014.3,32.05
1116,2020-07-23T00:00:00,VN,Hạ Long,pressure,8,993.1,996.1,994.8,10.23
1117,2020-02-10T00:00:00,VN,Hạ Long,pressure,8,993.6,996.8,994.6,13.45
1118,2020-10-22T00:00:00,VN,Hạ Long,pressure,16,997.5,1001.5,999.5,18.7
1119,2020-11-14T00:00:00,VN,Hạ Long,pressure,8,1001.6,1005.9,1003.3,15.79
1120,2020-07-07T00:00:00,VN,Hạ Long,pressure,8,991.7,994.4,993,8.39
1121,2020-07-27T00:00:00,VN,Hạ Long,pressure,8,990,992.6,991.2,8.91
1122,2020-08-16T00:00:00,VN,Hạ Long,pressure,8,989.5,993.2,991.6,14.66
1123,2020-08-29T00:00:00,VN,Hạ Long,pressure,8,989.4,992.7,990.8,11.94
1124,2020-01-27T00:00:00,VN,Hạ Long,pressure,8,1001,1005.1,1002.3,17.31
1125,2020-11-04T00:00:00,VN,Hạ Long,pressure,8,999.1,1001.9,999.9,11.26
1126,2020-03-06T00:00:00,VN,Hạ Long,pressure,7,989.7,992.5,991.4,9.9
1127,2020-08-06T00:00:00,VN,Hạ Long,pressure,7,987.6,990.2,988.9,10.03
1128,2020-09-10T00:00:00,VN,Hạ Long,pressure,8,999,1003.9,1001.7,27.25
1129,2020-11-20T00:00:00,VN,Hạ Long,pressure,8,997.1,1000.7,998.1,14.47
1130,2020-11-30T00:00:00,VN,Hạ Long,pressure,8,1006.3,1011,1008.4,21.7
1131,2020-10-18T00:00:00,VN,Hạ Long,pressure,8,999.2,1002.6,1000.6,11.7
1132,2020-12-27T00:00:00,VN,Hạ Long,pressure,8,999.6,1003.8,1001.1,15.6
1133,2021-01-18T00:00:00,VN,Hạ Long,pressure,8,1006.3,1013.5,1008.8,88.62
1134,2020-04-01T00:00:00,VN,Hạ Long,pressure,8,1003.3,1007.5,1004.8,17.09
1135,2020-03-30T00:00:00,VN,Hạ Long,pressure,7,993.8,998,995.1,20.5
1136,2020-12-06T00:00:00,VN,Hạ Long,pressure,8,986.7,991,990,24.05
1137,2020-07-25T00:00:00,VN,Hạ Long,pressure,8,991.6,995.3,994.2,17.51
1138,2020-12-26T00:00:00,VN,Hạ Long,pressure,8,1000.1,1005.3,1002.2,27.85
