Province,Address,Province Latitude,Province Longitude,Date,AQI,CO,NO2,O3,PM-10,PM-2.5,SO2,Primary Pollutant,Fog,Humidity,Temperature,Wind Speed,Pressure
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-22,161,4.0,7.0,23.6,50.0,75.0,1.0,PM-2.5,16.5,59.0,25.0,3.0,1012.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-23,153,2.0,13.0,23.0,51.0,59.0,4.0,PM-2.5,16.0,60.0,24.0,1.5,1012.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-23,154,1.0,3.0,7.0,42.0,61.0,3.0,PM-2.5,16.0,60.0,24.0,1.5,1012.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-23,153,4.0,1.0,23.6,39.0,60.0,1.0,PM-2.5,16.0,60.0,24.0,1.5,1012.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-24,137,2.0,11.0,25.0,47.0,50.0,4.0,PM-2.5,16.0,60.0,24.0,3.0,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-24,152,1.0,4.0,5.0,42.0,57.0,4.0,PM-2.5,16.0,60.0,24.0,3.0,1011.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-24,137,4.0,1.0,23.6,35.0,50.0,1.0,PM-2.5,16.0,60.0,24.0,3.6,1009.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-27,122,3.0,14.0,25.0,27.0,44.0,3.0,PM-2.5,14.0,72.0,19.0,5.1,1013.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-27,158,3.0,4.0,3.0,52.0,70.0,4.0,PM-2.5,14.0,72.0,19.0,5.1,1013.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-27,153,4.0,5.0,23.6,40.0,60.0,2.0,PM-2.5,14.0,72.0,19.0,5.1,1013.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-02,147,3.0,8.0,24.0,32.0,54.0,7.0,PM-2.5,10.0,49.0,21.0,3.0,1018.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-02,80,3.0,3.0,7.0,20.0,26.0,4.0,PM-2.5,10.0,49.0,21.0,3.6,1020.0
